2018-09-24 12:21:35,869 [Worker-13: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for org.glassfish.jersey.ext:jersey-entity-filtering:jar:2.25.1 is invalid, transitive dependencies (if any) will not be available, enable debug logging for more details
2018-09-24 12:21:35,990 [Worker-13: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for org.glassfish.jersey.ext:jersey-entity-filtering:jar:2.25.1 is invalid, transitive dependencies (if any) will not be available, enable debug logging for more details
2018-09-24 12:21:36,791 [Worker-13: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-09-24 12:21:36,793 [Worker-13: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\NChaudhary\Desktop\EclipseWorkSpace\JavaStack\java-restful-demo\src\main\resources
2018-09-24 12:21:36,794 [Worker-13: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-09-24 12:21:36,796 [Worker-13: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\NChaudhary\Desktop\EclipseWorkSpace\JavaStack\java-restful-demo\src\test\resources
2018-09-24 12:21:36,796 [Worker-13: Building workspace] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Changed resources require a complete clean of filtered resources of java-restful-demo
2018-09-24 12:21:36,796 [Worker-13: Building workspace] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Executing resource filtering for java-restful-demo
2018-09-24 12:21:36,802 [Worker-13: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-09-24 12:22:21,746 [Worker-18: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for org.glassfish.jersey.ext:jersey-entity-filtering:jar:2.25.1 is invalid, transitive dependencies (if any) will not be available, enable debug logging for more details
2018-09-24 12:22:21,782 [Worker-18: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-09-24 12:22:21,785 [Worker-18: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\NChaudhary\Desktop\EclipseWorkSpace\JavaStack\java-restful-demo\src\main\resources
2018-09-24 12:22:21,788 [Worker-18: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
